cost_complexity,tree_depth,min_n,.metric,.estimator,mean,n,std_err,.config
5.623413251903491e-4,23,2,recall,macro,0.8320095794076788,10,0.012279370312830093,Preprocessor1_Model019
5.623413251903491e-4,23,2,roc_auc,hand_till,0.9204175777237723,10,0.005406907393084159,Preprocessor1_Model019
0.1,23,2,accuracy,multiclass,0.4890151515151515,10,0.011803927132040992,Preprocessor1_Model020
0.1,23,2,gain_capture,macro,0.511573998078032,10,0.008866942048003385,Preprocessor1_Model020
0.1,23,2,precision,macro,0.5670950262698684,10,0.012299719140801588,Preprocessor1_Model020
0.1,23,2,recall,macro,0.46851631087258594,10,0.00859876746376464,Preprocessor1_Model020
0.1,23,2,roc_auc,hand_till,0.7595454329388219,10,0.00452802614292548,Preprocessor1_Model020
1e-10,30,2,accuracy,multiclass,0.8287048412048412,10,0.011340936344935652,Preprocessor1_Model021
1e-10,30,2,gain_capture,macro,0.7852849867239334,10,0.014454310206023018,Preprocessor1_Model021
1e-10,30,2,precision,macro,0.8289345668120043,10,0.011080634881803957,Preprocessor1_Model021
1e-10,30,2,recall,macro,0.8280938150344568,10,0.011690321838655397,Preprocessor1_Model021
1e-10,30,2,roc_auc,hand_till,0.8925586343965355,10,0.007306451149159607,Preprocessor1_Model021
1.7782794100389228e-8,30,2,accuracy,multiclass,0.8287048412048412,10,0.011340936344935652,Preprocessor1_Model022
1.7782794100389228e-8,30,2,gain_capture,macro,0.7852849867239334,10,0.014454310206023018,Preprocessor1_Model022
1.7782794100389228e-8,30,2,precision,macro,0.8289345668120043,10,0.011080634881803957,Preprocessor1_Model022
1.7782794100389228e-8,30,2,recall,macro,0.8280938150344568,10,0.011690321838655397,Preprocessor1_Model022
1.7782794100389228e-8,30,2,roc_auc,hand_till,0.8925586343965355,10,0.007306451149159607,Preprocessor1_Model022
3.162277660168379e-6,30,2,accuracy,multiclass,0.8287048412048412,10,0.011340936344935652,Preprocessor1_Model023
3.162277660168379e-6,30,2,gain_capture,macro,0.7852849867239334,10,0.014454310206023018,Preprocessor1_Model023
3.162277660168379e-6,30,2,precision,macro,0.8289345668120043,10,0.011080634881803957,Preprocessor1_Model023
3.162277660168379e-6,30,2,recall,macro,0.8280938150344568,10,0.011690321838655397,Preprocessor1_Model023
3.162277660168379e-6,30,2,roc_auc,hand_till,0.8925586343965355,10,0.007306451149159607,Preprocessor1_Model023
5.623413251903491e-4,30,2,accuracy,multiclass,0.8310628810628811,10,0.012403375342656838,Preprocessor1_Model024
5.623413251903491e-4,30,2,gain_capture,macro,0.8399950295190364,10,0.010958403154377511,Preprocessor1_Model024
5.623413251903491e-4,30,2,precision,macro,0.8320255530478171,10,0.011164228278365574,Preprocessor1_Model024
5.623413251903491e-4,30,2,recall,macro,0.8320095794076788,10,0.012279370312830093,Preprocessor1_Model024
5.623413251903491e-4,30,2,roc_auc,hand_till,0.9204175777237723,10,0.005406907393084159,Preprocessor1_Model024
0.1,30,2,accuracy,multiclass,0.4890151515151515,10,0.011803927132040992,Preprocessor1_Model025
0.1,30,2,gain_capture,macro,0.511573998078032,10,0.008866942048003385,Preprocessor1_Model025
0.1,30,2,precision,macro,0.5670950262698684,10,0.012299719140801588,Preprocessor1_Model025
0.1,30,2,recall,macro,0.46851631087258594,10,0.00859876746376464,Preprocessor1_Model025
0.1,30,2,roc_auc,hand_till,0.7595454329388219,10,0.00452802614292548,Preprocessor1_Model025
1e-10,5,11,accuracy,multiclass,0.6735474110474111,10,0.008154342800744275,Preprocessor1_Model026
1e-10,5,11,gain_capture,macro,0.7971652685334029,10,0.009603527958997068,Preprocessor1_Model026
1e-10,5,11,precision,macro,0.7077258503512417,10,0.008055617140272529,Preprocessor1_Model026
1e-10,5,11,recall,macro,0.67920733195109,10,0.009638770548226322,Preprocessor1_Model026
1e-10,5,11,roc_auc,hand_till,0.8996769442033549,10,0.004698760196454684,Preprocessor1_Model026
1.7782794100389228e-8,5,11,accuracy,multiclass,0.6735474110474111,10,0.008154342800744275,Preprocessor1_Model027
1.7782794100389228e-8,5,11,gain_capture,macro,0.7971652685334029,10,0.009603527958997068,Preprocessor1_Model027
1.7782794100389228e-8,5,11,precision,macro,0.7077258503512417,10,0.008055617140272529,Preprocessor1_Model027
1.7782794100389228e-8,5,11,recall,macro,0.67920733195109,10,0.009638770548226322,Preprocessor1_Model027
1.7782794100389228e-8,5,11,roc_auc,hand_till,0.8996769442033549,10,0.004698760196454684,Preprocessor1_Model027
3.162277660168379e-6,5,11,accuracy,multiclass,0.6735474110474111,10,0.008154342800744275,Preprocessor1_Model028
3.162277660168379e-6,5,11,gain_capture,macro,0.7971652685334029,10,0.009603527958997068,Preprocessor1_Model028
3.162277660168379e-6,5,11,precision,macro,0.7077258503512417,10,0.008055617140272529,Preprocessor1_Model028
3.162277660168379e-6,5,11,recall,macro,0.67920733195109,10,0.009638770548226322,Preprocessor1_Model028
3.162277660168379e-6,5,11,roc_auc,hand_till,0.8996769442033549,10,0.004698760196454684,Preprocessor1_Model028
5.623413251903491e-4,5,11,accuracy,multiclass,0.6742208117208117,10,0.00818075891854801,Preprocessor1_Model029
5.623413251903491e-4,5,11,gain_capture,macro,0.7969244504433697,10,0.010009042820207781,Preprocessor1_Model029
5.623413251903491e-4,5,11,precision,macro,0.7099199349591285,10,0.007813080186115652,Preprocessor1_Model029
5.623413251903491e-4,5,11,recall,macro,0.6802220402023322,10,0.009595682831184645,Preprocessor1_Model029
5.623413251903491e-4,5,11,roc_auc,hand_till,0.8995447095834037,10,0.004946262715522787,Preprocessor1_Model029
0.1,5,11,accuracy,multiclass,0.4890151515151515,10,0.011803927132040992,Preprocessor1_Model030
0.1,5,11,gain_capture,macro,0.511573998078032,10,0.008866942048003385,Preprocessor1_Model030
0.1,5,11,precision,macro,0.5670950262698684,10,0.012299719140801588,Preprocessor1_Model030
0.1,5,11,recall,macro,0.46851631087258594,10,0.00859876746376464,Preprocessor1_Model030
0.1,5,11,roc_auc,hand_till,0.7595454329388219,10,0.00452802614292548,Preprocessor1_Model030
1e-10,11,11,accuracy,multiclass,0.8236497861497861,10,0.011278228912866643,Preprocessor1_Model031
1e-10,11,11,gain_capture,macro,0.8745908835088403,10,0.009527463355470838,Preprocessor1_Model031
1e-10,11,11,precision,macro,0.8252128485852643,10,0.010507352995753793,Preprocessor1_Model031
1e-10,11,11,recall,macro,0.8249342302076966,10,0.011599241184162789,Preprocessor1_Model031
1e-10,11,11,roc_auc,hand_till,0.937612182800047,10,0.004778777616151288,Preprocessor1_Model031
1.7782794100389228e-8,11,11,accuracy,multiclass,0.8236497861497861,10,0.011278228912866643,Preprocessor1_Model032
1.7782794100389228e-8,11,11,gain_capture,macro,0.8745908835088403,10,0.009527463355470838,Preprocessor1_Model032
1.7782794100389228e-8,11,11,precision,macro,0.8252128485852643,10,0.010507352995753793,Preprocessor1_Model032
1.7782794100389228e-8,11,11,recall,macro,0.8249342302076966,10,0.011599241184162789,Preprocessor1_Model032
1.7782794100389228e-8,11,11,roc_auc,hand_till,0.937612182800047,10,0.004778777616151288,Preprocessor1_Model032
3.162277660168379e-6,11,11,accuracy,multiclass,0.8236497861497861,10,0.011278228912866643,Preprocessor1_Model033
3.162277660168379e-6,11,11,gain_capture,macro,0.8745908835088403,10,0.009527463355470838,Preprocessor1_Model033
3.162277660168379e-6,11,11,precision,macro,0.8252128485852643,10,0.010507352995753793,Preprocessor1_Model033
3.162277660168379e-6,11,11,recall,macro,0.8249342302076966,10,0.011599241184162789,Preprocessor1_Model033
3.162277660168379e-6,11,11,roc_auc,hand_till,0.937612182800047,10,0.004778777616151288,Preprocessor1_Model033
5.623413251903491e-4,11,11,accuracy,multiclass,0.8249943124943125,10,0.0107086120192578,Preprocessor1_Model034
5.623413251903491e-4,11,11,gain_capture,macro,0.8744533569214737,10,0.00875894527506771,Preprocessor1_Model034
5.623413251903491e-4,11,11,precision,macro,0.8264201638265453,10,0.010293920897610925,Preprocessor1_Model034
5.623413251903491e-4,11,11,recall,macro,0.8258439115452182,10,0.011070455512410132,Preprocessor1_Model034
5.623413251903491e-4,11,11,roc_auc,hand_till,0.9375384361471476,10,0.004378084389514727,Preprocessor1_Model034
